Chr,Gene,MIS,MFS,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
chr13,PF3D7_1318600,0.191,-3.301,171,6
chr13,PF3D7_1318700,0.998,0.238,307,12
chr13,PF3D7_1318800,0.154,-2.828,44,3
chr13,PF3D7_1318900,1,-0.781,484,31
chr13,PF3D7_1319000,0.215,-2.523,856,21
chr13,PF3D7_1319100,1,-2.371,212,12
chr13,PF3D7_1319200,1,-0.241,399,10
chr13,PF3D7_1319300,0.122,-3.02,311,15
chr13,PF3D7_1319400,0.146,-2.942,345,13
chr13,PF3D7_1319500,0.581,-3.153,26,2
chr13,PF3D7_1319600,1,-0.67,828,13
chr13,PF3D7_1319700,0.183,-2.838,232,6
chr13,PF3D7_1319800,0.12,-3.245,16,1
chr13,PF3D7_1319900,1,-2.315,1317,43
chr13,PF3D7_1320000,1,-2.864,677,29
chr13,PF3D7_1320100,0.131,-2.856,50,2
chr13,PF3D7_1320200,1,-1.144,201,10
chr13,PF3D7_1320300,1,-0.169,246,10
chr13,PF3D7_1320400,0.975,-2.576,151,7
chr13,PF3D7_1320500,0.119,-3.222,82,3
chr13,PF3D7_1320600,0.131,-3.076,12,1
chr13,PF3D7_1320700,0.122,-3.036,1158,45
chr13,PF3D7_1320800,1,0.398,133,7
chr13,PF3D7_1320900,0.794,-2.429,32,3
chr13,PF3D7_1321000,0.136,-3.155,204,6
chr13,PF3D7_1321100,1,-2.69,1297,17
chr13,PF3D7_1321200,0.124,-3.794,6,1
chr13,PF3D7_1321300,1,-1.393,1782,40
chr13,PF3D7_1321400,0.287,-2.86,80,4
chr13,PF3D7_1321500,0.123,-3.029,299,26
chr13,PF3D7_1321600,1,-1.732,175,6
chr13,PF3D7_1321700,1,1.51,425,19
chr13,PF3D7_1321800,0.21,-2.518,68,2
chr13,PF3D7_1321900,0.534,-3.11,127,25
chr13,PF3D7_1322000,0.127,-2.943,376,25
chr13,PF3D7_1322100,1,0.151,1428,29
chr13,PF3D7_1322200,0.792,-3.041,2944,30
chr13,PF3D7_1322300,0.151,-2.773,646,22
chr13,PF3D7_1322400,1,1.684,208,15
chr13,PF3D7_1322500,0.966,-2.787,242,7
chr13,PF3D7_1322600,1,-0.233,366,12
chr13,PF3D7_1322700,1,1.001,121,9
chr13,PF3D7_1322800,0.287,0,50,1
chr13,PF3D7_1322900,0.222,-2.718,52,5
chr13,PF3D7_1323000,0.148,-2.709,92,4
chr13,PF3D7_1323100,0.119,-3,15,1
chr13,PF3D7_1323200,0.354,-3.572,19,1
chr13,PF3D7_1323300,1,-2.363,119,7
chr13,PF3D7_1323400,0.304,-2.603,36,5
chr13,PF3D7_1323500,0.136,-2.863,248,14
chr13,PF3D7_1323600,0.187,-2.568,74,2
chr13,PF3D7_1323700,0.254,-2.63,17,3
chr13,PF3D7_1323800,0.17,-2.878,734,22
chr13,PF3D7_1323900,0.142,-2.739,135,10
chr13,PF3D7_1324000,1,-0.533,80,2
chr13,PF3D7_1324100,0.121,-2.898,68,1
chr13,PF3D7_1324200,0.603,-2.402,220,13
chr13,PF3D7_1324300,1,-1.063,354,4
chr13,PF3D7_1324400,0.121,-2.925,30,4
chr13,PF3D7_1324500,0.143,-3.241,357,9
chr13,PF3D7_1324600,1,-0.889,417,11
chr13,PF3D7_1324700,0.121,-3.22,26,1
chr13,PF3D7_1324800,0.123,-3.03,118,3
chr13,PF3D7_1324900,0.159,-2.887,19,2
chr13,PF3D7_1325000,0.659,-2.166,9,1
chr13,PF3D7_1325100,0.218,-2.546,39,2
chr13,PF3D7_1325200,1,-0.613,7,1
chr13,PF3D7_1325300,0.97,-2.912,35,2
chr13,PF3D7_1325400,1,-0.848,1338,23
chr13,PF3D7_1325500,0.939,-2.737,195,5
chr13,PF3D7_1325600,0.632,-3.676,12,2
chr13,PF3D7_1325700,0.709,-2.546,40,2
chr13,PF3D7_1325800,1,-1.16,695,20
chr13,PF3D7_1325900,1,-0.571,858,7
chr13,PF3D7_1326000,0.175,-2.737,39,1
chr13,PF3D7_1326100,0.261,-2.697,109,4
chr13,PF3D7_1326200,0.121,-3.033,90,8
chr13,PF3D7_1326300,0.222,-2.712,243,14
chr13,PF3D7_1326400,0.186,-2.835,91,2
chr13,PF3D7_1326500,1,-1.797,1001,23
chr13,PF3D7_1326600,0.971,-2.787,498,5
chr13,PF3D7_1326700,0.122,-3.141,135,7
chr13,PF3D7_1326800,0.184,-3.444,177,4
chr13,PF3D7_1326900,0.992,-2.808,442,17
chr13,PF3D7_1327000,0.125,-3.107,8,1
chr13,PF3D7_1327100,1,-2.484,74,4
chr13,PF3D7_1327200,0.143,-2.899,132,8
chr13,PF3D7_1327300,1,-0.897,1020,24
chr13,PF3D7_1327400,0.143,-2.538,115,6
chr13,PF3D7_1327500,1,-1.679,373,18
chr13,PF3D7_1327600,0.754,-2.892,14,2
chr13,PF3D7_1327700,0.988,-0.462,57,4
chr13,PF3D7_1327800,0.992,-1.359,76,5
chr13,PF3D7_1327900,0.991,-1.869,50,4
chr13,PF3D7_1328000,1,-2.967,825,24
chr13,PF3D7_1328100,0.244,-2.338,19,1
chr13,PF3D7_1328200,1,-1.256,1390,29
chr13,PF3D7_1328300,0.121,-3.035,79,6
chr13,PF3D7_1328400,0.122,-3.009,297,12
chr13,PF3D7_1328500,1,-1.416,437,21
chr13,PF3D7_1328600,0.521,-2.678,116,6
chr13,PF3D7_1328700,,,1,1
chr13,PF3D7_1328800,1,-2.06,36,3
chr13,PF3D7_1328900,0.233,-3.391,70,4
chr13,PF3D7_1329000,0.12,-2.953,618,16
chr13,PF3D7_1329100,0.989,-1.921,806,35
chr13,PF3D7_1329200,1,1.454,109,4
chr13,PF3D7_1329300,0.16,-2.736,86,2
chr13,PF3D7_1329400,0.995,-1.778,115,1
chr13,PF3D7_1329500,0.283,-2.663,916,29
chr13,PF3D7_1329600,1,-1.598,89,7
chr13,PF3D7_1329700,1,0.369,196,7
chr13,PF3D7_1329800,1,-2.884,489,20
chr13,PF3D7_1329900,0.125,-3.137,311,16
chr13,PF3D7_1330000,0.228,-2.576,64,2
chr13,PF3D7_1330100,0.576,-2.301,50,6
chr13,PF3D7_1330200,0.328,-2.615,104,6
chr13,PF3D7_1330300,1,0.673,149,13
chr13,PF3D7_1330400,0.128,-3.029,19,1
chr13,PF3D7_1330500,1,-2.012,169,9
chr13,PF3D7_1330600,0.131,-2.779,97,4
chr13,PF3D7_1330700,0.143,-3.113,183,10
chr13,PF3D7_1330800,0.908,-2.242,262,17
chr13,PF3D7_1331000,1,-1.714,310,13
chr13,PF3D7_1331100,1,0.018,295,13
chr13,PF3D7_1331200,0.216,-2.674,194,9
chr13,PF3D7_1331300,0.159,-2.822,23,8
chr13,PF3D7_1331400,1,-1.925,156,11
chr13,PF3D7_1331500,0.339,-2.627,316,19
chr13,PF3D7_1331600,0.145,-2.772,44,2
chr13,PF3D7_1331700,0.205,-2.692,224,8
chr13,PF3D7_1331800,0.126,-2.947,3,1
chr13,PF3D7_1331900,,,1,1
chr13,PF3D7_1332000,0.12,-2.83,48,3
chr13,PF3D7_1332100,1,0.139,284,10
chr13,PF3D7_1332200,0.996,-0.983,791,27
chr13,PF3D7_1332300,0.175,-2.789,29,2
chr13,PF3D7_1332400,0.956,-0.942,466,18
chr13,PF3D7_1332500,0.998,-2.591,35,2
chr13,PF3D7_1332600,0.941,-2.627,267,14
chr13,PF3D7_1332700,0.924,-2.91,203,9
chr13,PF3D7_1332800,0.961,-2.873,21,2
chr13,PF3D7_1332900,0.12,-3.026,257,8
chr13,PF3D7_1333000,0.37,-3.541,52,2
chr13,PF3D7_1333100,1,-2.415,360,16
chr13,PF3D7_1333200,0.125,-2.915,1218,41
chr13,PF3D7_1333300,0.93,-2.947,41,3
chr13,PF3D7_1333400,1,0.718,70,5
chr13,PF3D7_1333500,0.133,-2.931,289,17
chr13,PF3D7_1333600,0.143,-2.859,914,26
chr13,PF3D7_1333700,0.408,-2.685,41,1
chr13,PF3D7_1333800,1,0.693,157,11
chr13,PF3D7_1333900,0.889,-1.742,279,7
chr13,PF3D7_1334000,0.161,-3.391,136,6
chr13,PF3D7_1334100,0.175,-2.71,375,11
chr13,PF3D7_1334200,1,-2.7,141,2
chr13,PF3D7_1334300,1,-0.451,230,17
chr13,PF3D7_1334400,0.12,-3.036,215,20
chr13,PF3D7_1334500,0.232,-2.637,723,38
chr13,PF3D7_1334600,1,-2.12,149,9
chr13,PF3D7_1334700,0.167,-3.236,73,4
chr13,PF3D7_1334800,0.993,-2.648,95,5
chr13,PF3D7_1334900,0.199,0,,
chr13,PF3D7_1335000,1,-1.197,183,8
chr13,PF3D7_1335100,0.459,-2.577,389,62
chr13,PF3D7_1335200,1,-2.239,,
chr13,PF3D7_1335300,1,-1.972,0,0
chr13,PF3D7_1335400,1,-2.153,0,0
chr13,PF3D7_1335500,0.998,-2.582,44,2
chr13,PF3D7_1335600,0.178,-2.869,77,3
chr13,PF3D7_1335700,0.12,-3.041,495,24
chr13,PF3D7_1335800,1,-1.926,152,11
chr13,PF3D7_1335900,0.756,-2.134,2764,68
chr13,PF3D7_1336000,0.305,-3.419,52,4
chr13,PF3D7_1336100,0.281,-2.848,28,1
chr13,PF3D7_1336200,0.816,-2.335,154,6
chr13,PF3D7_1336300,1,-0.427,60,4
chr13,PF3D7_1336400,0.258,-3.348,38,2
chr13,PF3D7_1336600,1,-1.247,19,2
chr13,PF3D7_1336700,0.983,-2.1,68,9
chr13,PF3D7_1336800,0.459,-2.466,71,4
chr13,PF3D7_1336900,0.142,-3.188,115,5
chr13,PF3D7_1337000,0.166,-2.778,384,13
chr13,PF3D7_1337100,0.127,-2.795,94,4
chr13,PF3D7_1337200,0.123,-2.89,844,24
chr13,PF3D7_1337300,0.12,-2.956,303,9
chr13,PF3D7_1337400,1,-1.715,306,12
chr13,PF3D7_1337500,1,-1.182,33,0
chr13,PF3D7_1337700,0.128,-2.925,190,9
chr13,PF3D7_1337800,0.125,-3.188,63,5
chr13,PF3D7_1337900,0.178,-2.929,146,14
chr13,PF3D7_1338000,0.913,-2.454,85,1
chr13,PF3D7_1338100,0.189,-2.887,107,6
chr13,PF3D7_1338200,0.657,-3.612,22,2
chr13,PF3D7_1338300,0.763,-2.447,203,10
chr13,PF3D7_1338400,1,-1.556,122,4
chr13,PF3D7_1338500,0.122,-3.194,356,15
chr13,PF3D7_1338600,0.133,-2.96,562,19
chr13,PF3D7_1338700,0.119,-2.954,212,12
chr13,PF3D7_1338800,0.328,-3.298,246,11
chr13,PF3D7_1338900,0.276,-2.61,580,18
chr13,PF3D7_1339000,0.132,-2.844,136,7
chr13,PF3D7_1339100,,,1,1
chr13,PF3D7_1339200,,,1,1
chr13,PF3D7_1339300,0.18,-2.719,50,3
chr13,PF3D7_1339400,0.567,-2.415,33,3
chr13,PF3D7_1339500,0.331,-3.794,21,1
chr13,PF3D7_1339600,0.23,-2.853,490,17
chr13,PF3D7_1339700,0.687,-2.383,911,12
chr13,PF3D7_1339800,0.279,-3.996,5,1
chr13,PF3D7_1339900,0.998,-2.39,395,11
chr13,PF3D7_1340000,1,-0.982,474,23
chr13,PF3D7_1340100,0.274,-2.601,71,4
chr13,PF3D7_1340200,0.125,0,12,1
chr13,PF3D7_1340300,0.121,-3.185,412,17
chr13,PF3D7_1340400,0.827,-2.528,355,24
chr13,PF3D7_1340500,0.999,-2.41,938,29
chr13,PF3D7_1340600,0.25,-2.756,423,11
chr13,PF3D7_1340700,0.91,-2.07,15,1
chr13,PF3D7_1340800,0.119,-3.235,35,3
chr13,PF3D7_1340900,0.238,-2.841,123,7
chr13,PF3D7_1341100,,,3,1
chr13,PF3D7_1341200,0.12,-3.117,24,1
chr13,PF3D7_1341300,0.929,-2.826,25,1
chr13,PF3D7_1341500,0.239,-2.623,291,17
chr13,PF3D7_1341600,0.488,-2.397,363,10
chr13,PF3D7_1341700,0.16,-3.068,37,3
chr13,PF3D7_1341800,0.269,-2.726,264,12
chr13,PF3D7_1341900,0.122,-3.354,26,2
chr13,PF3D7_1342000,0.127,-2.986,104,9
chr13,PF3D7_1342100,0.807,-2.209,224,8
chr13,PF3D7_1342200,0.121,-3.014,919,31
chr13,PF3D7_1342300,0.132,-3.302,84,4
chr13,PF3D7_1342400,1,-2.043,78,3
chr13,PF3D7_1342500,0.151,-3.061,247,33
chr13,PF3D7_1342600,0.138,-3.027,94,8
chr13,PF3D7_1342700,,,3,1
chr13,PF3D7_1342800,0.265,-2.655,66,1
chr13,PF3D7_1342900,1,-1.975,838,8
chr13,PF3D7_1343000,0.129,-3.113,64,4
chr13,PF3D7_1343100,0.206,-2.635,120,10
chr13,PF3D7_1343200,1,-0.659,218,9
chr13,PF3D7_1343300,0.161,-2.76,412,9
chr13,PF3D7_1343400,1,-2.147,587,13
chr13,PF3D7_1343500,0.12,-3.21,114,5
chr13,PF3D7_1343600,0.129,-3.188,345,11
chr13,PF3D7_1343700,0.122,-2.96,155,21
chr13,PF3D7_1343800,1,-1.279,3093,30
chr13,PF3D7_1343900,0.131,-2.85,325,7
chr13,PF3D7_1344000,0.172,-2.765,553,21
chr13,PF3D7_1344100,1,-1.13,374,12
chr13,PF3D7_1344200,0.143,-2.839,382,9
chr13,PF3D7_1344300,1,-0.633,1094,26
chr13,PF3D7_1344400,1,0.114,408,12
chr13,PF3D7_1344500,0.16,-3.243,89,2
chr13,PF3D7_1344600,0.135,-2.807,148,4
chr13,PF3D7_1344700,0.963,-1.114,1187,27
chr13,PF3D7_1344800,0.408,-2.437,151,7
chr13,PF3D7_1344900,0.203,-2.722,1118,17
chr13,PF3D7_1345000,0.261,-2.545,195,8
chr13,PF3D7_1345100,0.122,-3.166,33,4
chr13,PF3D7_1345200,0.138,-3.131,288,7
chr13,PF3D7_1345300,0.119,-3.068,42,1
chr13,PF3D7_1345400,0.244,-2.732,1137,19
chr13,PF3D7_1345500,0.119,-2.878,125,2
chr13,PF3D7_1345600,0.763,-2.334,262,12
chr13,PF3D7_1345700,0.121,-3.089,134,7
chr13,PF3D7_1345800,1,-1.24,1072,35
chr13,PF3D7_1345900,0.124,-3.059,62,2
chr13,PF3D7_1346000,1,0.419,447,11
chr13,PF3D7_1346100,0.996,-2.116,15,2
chr13,PF3D7_1346200,0.119,-3.011,35,3
chr13,PF3D7_1346300,0.983,-1.756,45,4
chr13,PF3D7_1346400,0.989,-2.768,3002,34
chr13,PF3D7_1346500,0.119,-3.049,425,12
chr13,PF3D7_1346600,0.937,-0.261,97,3
chr13,PF3D7_1346700,1,-1.876,91,11
chr13,PF3D7_1346800,0.288,-2.563,244,44
chr13,PF3D7_1346900,0.968,-2.872,79,4
chr13,PF3D7_1347000,0.521,-2.384,92,2
chr13,PF3D7_1347100,0.391,-2.648,145,7
chr13,PF3D7_1347200,0.122,-3.111,89,14
chr13,PF3D7_1347300,0.997,-0.832,87,5
chr13,PF3D7_1347400,0.126,-3.075,52,1
chr13,PF3D7_1347500,0.12,-3.068,40,2
chr13,PF3D7_1347600,1,-0.694,105,1
chr13,PF3D7_1347700,0.622,-2.514,171,15
chr13,PF3D7_1347800,0.196,-3.295,93,5
chr13,PF3D7_1347900,0.147,-3.168,1134,32
chr13,PF3D7_1348000,0.929,-2.826,981,19
chr13,PF3D7_1348100,0.316,-2.437,61,5
chr13,PF3D7_1348200,0.148,-2.89,66,3
chr13,PF3D7_1348300,0.12,-3.032,599,16
chr13,PF3D7_1348400,0.156,-2.777,49,0
chr13,PF3D7_1348500,0.165,-2.958,41,1
chr13,PF3D7_1348600,0.12,-3,86,5
chr13,PF3D7_1348700,1,0.652,195,5
chr13,PF3D7_1348800,1,-1.492,784,23
chr13,PF3D7_1348900,0.997,-1.861,60,3
chr13,PF3D7_1349000,0.461,-3.156,138,6
chr13,PF3D7_1349100,0.957,-0.916,27,7
chr13,PF3D7_1349200,0.119,-2.972,361,7
chr13,PF3D7_1349300,0.927,-2.909,702,19
chr13,PF3D7_1349400,0.808,-3.076,144,6
chr13,PF3D7_1349500,0.275,-2.679,1668,17
chr13,PF3D7_1349600,0.228,-3.204,95,4
chr13,PF3D7_1349700,0.82,0.797,56,2
chr13,PF3D7_1349800,0.129,-3.171,150,3
chr13,PF3D7_1349900,0.924,-2.171,80,3
chr13,PF3D7_1350000,1,-1.106,139,10
chr13,PF3D7_1350100,0.329,-2.517,117,3
chr13,PF3D7_1350200,0.929,0,11,1
chr13,PF3D7_1350300,0.853,-2.368,188,4
chr13,PF3D7_1350400,0.172,-2.748,259,14
chr13,PF3D7_1350500,0.145,-2.888,891,26
chr13,PF3D7_1350600,0.267,-3.216,136,20
chr13,PF3D7_1350700,0.133,-3.034,391,24
chr13,PF3D7_1350800,0.608,-2.866,114,7
chr13,PF3D7_1350900,0.995,-2.054,154,4
chr13,PF3D7_1351000,1,-1.852,1373,28
chr13,PF3D7_1351100,0.154,-3.307,52,2
chr13,PF3D7_1351200,0.122,-3.079,922,27
chr13,PF3D7_1351300,0.152,-2.616,294,15
chr13,PF3D7_1351400,0.212,-3.294,32,1
chr13,PF3D7_1351600,1,-1.682,91,1
chr13,PF3D7_1351700,1,-2.301,1012,27
chr13,PF3D7_1351800,1,0,170,11
chr13,PF3D7_1351900,1,-1.828,192,4
chr13,PF3D7_1352000,0.77,-3.03,1030,22
chr13,PF3D7_1352100,0.129,-2.87,521,11
chr13,PF3D7_1352200,0.729,-2.182,205,13
chr13,PF3D7_1352300,0.152,-3.3,384,16
chr13,PF3D7_1352400,0.12,-2.991,795,27
chr13,PF3D7_1352500,0.195,-3.317,31,2
chr13,PF3D7_1352600,0.962,-2.929,157,4
chr13,PF3D7_1352700,0.123,-2.897,1898,45
chr13,PF3D7_1352800,0.122,-3.008,271,11
chr13,PF3D7_1352900,0.983,-2.343,1675,89
chr13,PF3D7_1353000,0.151,-2.783,,
chr13,PF3D7_1353100,1,-0.31,149,21
chr13,PF3D7_1353200,0.91,0,61,5
chr13,PF3D7_1353300,1,-1.963,1641,30
chr13,PF3D7_1353400,1,0.753,670,20
chr13,PF3D7_1353500,0.12,-2.95,87,5
chr13,PF3D7_1353600,0.137,-2.972,8,1
chr13,PF3D7_1353700,0.132,-3.072,43,2
chr13,PF3D7_1353800,0.13,-3.135,34,1
chr13,PF3D7_1353900,0.167,-2.941,24,2
chr13,PF3D7_1354000,1,0.629,439,15
chr13,PF3D7_1354100,1,-1.927,219,4
chr13,PF3D7_1354200,1,-1.869,451,13
chr13,PF3D7_1354300,0.133,-2.886,453,7
chr13,PF3D7_1354400,0.251,-2.73,12,1
chr13,PF3D7_1354500,0.122,-3.107,78,3
chr13,PF3D7_1354600,0.119,-2.982,123,4
chr13,PF3D7_1354700,0.13,-2.891,225,15
chr13,PF3D7_1354800,1,-2.117,324,7
chr13,PF3D7_1354900,0.135,-2.816,416,24
chr13,PF3D7_1355100,0.122,-3.094,70,2
chr13,PF3D7_1355200,0.192,-3.327,518,18
chr13,PF3D7_1355300,0.131,-3.323,46,2
chr13,PF3D7_1355500,0.898,-2.949,255,11
chr13,PF3D7_1355600,0.126,-3.05,403,25
chr13,PF3D7_1355700,0.143,-2.928,698,11
chr13,PF3D7_1355800,0.847,0,27,1
chr13,PF3D7_1355900,1,0.991,267,10
chr13,PF3D7_1356000,1,-0.727,1197,24
chr13,PF3D7_1356100,1,-0.274,587,22
chr13,PF3D7_1356200,0.12,-3.226,23,3
chr13,PF3D7_1356300,0.122,-2.666,14,1
chr13,PF3D7_1356400,0.16,-2.804,548,13
chr13,PF3D7_1356500,0.189,-2.677,68,8
chr13,PF3D7_1356600,0.242,-2.782,51,1
chr13,PF3D7_1356700,0.12,-3.042,102,3
chr13,PF3D7_1356800,1,-1.684,2833,28
chr13,PF3D7_1356900,0.999,-2.765,16,1
chr13,PF3D7_1357000,0.184,-2.892,3,2
chr13,PF3D7_1357100,0.184,-2.772,4,2
chr13,PF3D7_1357200,0.182,-3.308,267,9
chr13,PF3D7_1357300,0.121,-2.981,39,3
chr13,PF3D7_1357400,1,-1.684,739,24
chr13,PF3D7_1357500,1,-0.306,214,13
chr13,PF3D7_1357600,0.123,-2.959,28,3
chr13,PF3D7_1357700,0.13,-2.866,802,27
chr13,PF3D7_1357800,0.119,-3.006,56,2
chr13,PF3D7_1357900,0.585,-2.388,114,6
chr13,PF3D7_1358000,0.551,-3.029,1384,37
chr13,PF3D7_1358100,0.173,-2.811,400,15
chr13,PF3D7_1358200,0.13,-3.165,1641,31
chr13,PF3D7_1358300,0.174,-3.438,102,5
chr13,PF3D7_1358400,0.992,-2.599,26,3
chr13,PF3D7_1358500,0.177,-3.235,255,14
chr13,PF3D7_1358600,1,1.384,703,25
chr13,PF3D7_1358700,0.148,-2.98,18,2
chr13,PF3D7_1358800,0.168,-3.402,5,1
chr13,PF3D7_1358900,0.195,-2.9,75,3
chr13,PF3D7_1359000,0.154,-3.196,2120,34
chr13,PF3D7_1359100,0.903,-3.001,393,7
chr13,PF3D7_1359200,1,0.402,70,3
chr13,PF3D7_1359300,1,-1.136,504,9
chr13,PF3D7_1359400,0.305,-2.595,99,5
chr13,PF3D7_1359500,1,1.831,160,8
chr13,PF3D7_1359600,1,-2.788,1425,27
chr13,PF3D7_1359700,1,-0.602,2338,37
chr13,PF3D7_1359800,0.212,-3.176,59,4
chr13,PF3D7_1359900,1,-2.815,1248,22
chr13,PF3D7_1360000,0.124,-3.107,30,2
chr13,PF3D7_1360100,1,-1.403,42,2
chr13,PF3D7_1360200,0.15,-2.813,57,3
chr13,PF3D7_1360300,0.139,-3.007,264,10
chr13,PF3D7_1360400,0.154,-3.161,208,6
chr13,PF3D7_1360500,1,-1.392,1328,28
chr13,PF3D7_1360700,0.124,-2.855,515,13
chr13,PF3D7_1360800,0.177,-3.277,373,11
chr13,PF3D7_1360900,0.472,-2.639,30,1
chr13,PF3D7_1361000,1,0.385,416,15
chr13,PF3D7_1361100,0.38,-2.463,205,9
chr13,PF3D7_1361200,0.199,-2.767,1432,26
chr13,PF3D7_1361300,0.123,-3.105,130,6
chr13,PF3D7_1361400,1,0.697,20,1
chr13,PF3D7_1361500,0.954,-1.934,84,3
chr13,PF3D7_1361600,0.18,-2.825,56,4
chr13,PF3D7_1361700,0.123,-2.837,85,4
chr13,PF3D7_1361800,0.12,-3.046,523,32
chr13,PF3D7_1361900,0.234,-3.274,12,1
chr13,PF3D7_1362000,0.964,-2.185,73,4
chr13,PF3D7_1362100,0.666,-2.163,67,9
chr13,PF3D7_1362200,1,-2.266,61,4
chr13,PF3D7_1362300,0.425,-3.115,61,1
chr13,PF3D7_1362400,0.245,-2.707,1200,21
chr13,PF3D7_1362500,0.165,-3.267,462,14
chr13,PF3D7_1362600,1,-2.877,88,5
chr13,PF3D7_1362700,1,-1.065,52,0
chr13,PF3D7_1362800,1,-1.265,1307,36
chr13,PF3D7_1362900,1,-0.17,253,6
chr13,PF3D7_1363000,0.954,-2.783,627,13
chr13,PF3D7_1363100,0.246,-3.349,554,15
chr13,PF3D7_1363200,1,-0.753,171,3
chr13,PF3D7_1363300,0.12,-3.043,129,6
chr13,PF3D7_1363400,0.984,-2.564,570,16
chr13,PF3D7_1363500,1,-0.314,861,24
chr13,PF3D7_1363600,0.188,-3.31,148,4
chr13,PF3D7_1363700,0.194,-2.633,403,11
chr13,PF3D7_1363800,1,0.055,258,11
chr13,PF3D7_1364000,0.12,-3.034,235,11
chr13,PF3D7_1364100,1,1.157,824,46
chr13,PF3D7_1364200,1,-1.285,1689,38
chr13,PF3D7_1364300,0.12,-2.978,601,14
chr13,PF3D7_1364400,0.126,-3.128,1254,19
chr13,PF3D7_1364500,0.161,-2.735,244,7
chr13,PF3D7_1364600,0.152,-2.855,370,22
chr13,PF3D7_1364700,1,0.061,,
chr13,PF3D7_1364800,0.224,-2.651,15,1
chr13,PF3D7_1364900,1,-0.852,91,4
chr13,PF3D7_1365000,0.3,-2.627,259,3
chr13,PF3D7_1365100,0.643,0,22,2
chr13,PF3D7_1365200,0.978,0,9,1
chr13,PF3D7_1365300,0.119,-3.043,505,20
chr13,PF3D7_1365400,0.12,-3.048,274,14
chr13,PF3D7_1365500,0.468,-2.673,105,5
chr13,PF3D7_1365600,1,-1.062,356,16
chr13,PF3D7_1365700,0.988,-0.403,74,1
chr13,PF3D7_1365800,0.127,-2.953,56,3
chr13,PF3D7_1365900,0.119,0,3,1
chr13,PF3D7_1366000,0.231,-3.218,57,4
chr13,PF3D7_1366100,0.31,0,20,3
chr13,PF3D7_1366200,0.131,-3.202,44,2
chr13,PF3D7_1366300,0.855,-2.1,2211,22
chr13,PF3D7_1366400,0.133,-2.943,1076,39
chr13,PF3D7_1366500,0.119,-2.705,36,2
chr13,PF3D7_1366600,0.134,-3.121,193,7
chr13,PF3D7_1366700,0.125,-3.296,392,14
chr13,PF3D7_1366800,0.123,-3.123,381,47
chr13,PF3D7_1366900,1,-2.329,415,19
chr13,PF3D7_1367000,0.336,-2.895,18,1
chr13,PF3D7_1367100,0.336,-2.543,176,3
chr13,PF3D7_1367200,0.999,-0.722,227,4
chr13,PF3D7_1367300,0.976,-2.529,128,7
chr13,PF3D7_1367400,0.12,-2.991,720,23
chr13,PF3D7_1367500,0.187,-3.347,100,11
chr13,PF3D7_1367600,0.202,-3.374,75,3
chr13,PF3D7_1367700,0.127,-2.921,698,12
chr13,PF3D7_1367800,1,-1.335,461,10
chr13,PF3D7_1367900,1,-2.648,499,19
chr13,PF3D7_1368000,0.119,-2.837,33,1
chr13,PF3D7_1368100,0.138,-3.032,12,2
chr13,PF3D7_1368200,0.127,-3.138,55,4
chr13,PF3D7_1368300,0.128,-3.08,105,4
chr13,PF3D7_1368400,0.907,-1.192,77,2
chr13,PF3D7_1368500,0.119,-3.068,401,8
chr13,PF3D7_1368600,0.92,-2.258,13,1
chr13,PF3D7_1368700,0.209,-2.781,335,16
chr13,PF3D7_1368800,0.119,-3.061,1972,53
chr13,PF3D7_1368900,0.67,-2.452,212,8
chr13,PF3D7_1369000,0.119,-3.007,365,17
chr13,PF3D7_1369100,1,0.056,457,11
chr13,PF3D7_1369200,0.83,-2.983,1995,36
chr13,PF3D7_1369300,0.157,-3.003,328,10
chr13,PF3D7_1369400,0.136,-3.177,3032,53
chr13,PF3D7_1369500,1,-1.925,327,12
chr13,PF3D7_1369600,0.886,-2.985,358,13
chr13,PF3D7_1369700,0.77,-3.737,40,2
chr13,PF3D7_1369900,,,2,1
chr13,PF3D7_1370100,,,3,1
chr13,PF3D7_1370300,0.964,-2.237,51,12
chr13,PF3D7_1371500,1,0.721,,
chr13,PF3D7_1371600,1,-0.014,,
chr13,PF3D7_1371700,1,-0.71,,
chr13,PF3D7_1371800,0.12,-3.246,,
chr13,PF3D7_1371900,0.893,-1.135,,
chr13,PF3D7_1372000,1,1.28,,
chr13,PF3D7_1372100,1,-0.007,,
chr13,PF3D7_1372200,1,-1.811,,
chr13,PF3D7_1372300,0.771,-2.717,,
chr13,PF3D7_1372400,1,-2.731,,
chr13,PF3D7_1372500,0.997,-1.624,,
chr13,PF3D7_1372600,0.899,-2.114,,
chr13,PF3D7_1372700,0.647,-2.358,,
chr13,PF3D7_1372800,0.999,-1.6,,
chr13,PF3D7_1372900,1,-2.241,,
chr13,PF3D7_1373000,0.261,-2.712,,
chr13,PF3D7_1373100,0.608,-2.355,,
chr13,PF3D7_1373200,0.128,-2.88,,
chr13,PF3D7_1373300,0.97,-1.903,,
chr13,PF3D7_1373400,0.987,-2.172,,
chr14,PF3D7_1400100,0.95,-2.072,,
chr14,PF3D7_1400200,0.36,-2.599,,
chr14,PF3D7_1400300,0.955,-2.191,,
chr14,PF3D7_1400400,0.804,-2.149,,
chr14,PF3D7_1400500,0.95,-2.76,,
chr14,PF3D7_1400600,1,-2.232,,
